Character,Absolute Frequency,Relative Frequency,Weight
壻,27,0.000186,0.947220
壽,28,0.000193,0.913391
夂,19,0.000131,1.346050
夏,32,0.000220,0.799217
夔,16,0.000110,1.598434
夕,27,0.000186,0.947220
外,38,0.000261,0.673025
夙,15,0.000103,1.704996
多,31,0.000213,0.824998
夜,46,0.000316,0.555977
够,20,0.000138,1.278747
夠,25,0.000172,1.022998
夢,32,0.000220,0.799217
夤,14,0.000096,1.826782
夥,21,0.000144,1.217855
大,51,0.000351,0.501470
天,27,0.000186,0.947220
太,32,0.000220,0.799217
夫,40,0.000275,0.639374
夭,15,0.000103,1.704996
央,29,0.000199,0.881895
夯,22,0.000151,1.162498
失,34,0.000234,0.752204
夷,28,0.000193,0.913391
夸,30,0.000206,0.852498
夾,41,0.000282,0.623779
奄,34,0.000234,0.752204
奇,27,0.000186,0.947220
奈,26,0.000179,0.983652
奉,31,0.000213,0.824998
奋,28,0.000193,0.913391
奎,19,0.000131,1.346050
奏,34,0.000234,0.752204
奐,28,0.000193,0.913391
契,35,0.000241,0.730713
奔,22,0.000151,1.162498
奕,10,0.000069,2.557495
套,27,0.000186,0.947220
奘,32,0.000220,0.799217
奚,21,0.000144,1.217855
奠,25,0.000172,1.022998
奢,24,0.000165,1.065623
奧,28,0.000193,0.913391
奪,29,0.000199,0.881895
奮,35,0.000241,0.730713
女,43,0.000296,0.594766
奴,26,0.000179,0.983652
奸,27,0.000186,0.947220
她,20,0.000138,1.278747
好,31,0.000213,0.824998
妁,11,0.000076,2.324995
如,24,0.000165,1.065623
妃,20,0.000138,1.278747
妄,32,0.000220,0.799217
妊,25,0.000172,1.022998
妍,17,0.000117,1.504409
妒,21,0.000144,1.217855
妓,27,0.000186,0.947220
妖,25,0.000172,1.022998
妙,28,0.000193,0.913391
妝,30,0.000206,0.852498
妞,18,0.000124,1.420830
妣,21,0.000144,1.217855
妤,18,0.000124,1.420830
妥,26,0.000179,0.983652
妨,42,0.000289,0.608927
妮,15,0.000103,1.704996
妯,17,0.000117,1.504409
妲,18,0.000124,1.420830
妹,37,0.000255,0.691215
妻,40,0.000275,0.639374
妾,26,0.000179,0.983652
姆,24,0.000165,1.065623
姉,31,0.000213,0.824998
姊,14,0.000096,1.826782
始,40,0.000275,0.639374
姍,19,0.000131,1.346050
姐,27,0.000186,0.947220
姑,23,0.000158,1.111954
姒,20,0.000138,1.278747
姓,33,0.000227,0.774998
委,36,0.000248,0.710415
姘,15,0.000103,1.704996
姚,25,0.000172,1.022998
姜,17,0.000117,1.504409
姣,13,0.000089,1.967304
姥,29,0.000199,0.881895
姨,21,0.000144,1.217855
姬,22,0.000151,1.162498
姻,32,0.000220,0.799217
姿,25,0.000172,1.022998
威,23,0.000158,1.111954
娃,21,0.000144,1.217855
娉,22,0.000151,1.162498
娌,14,0.000096,1.826782
娑,19,0.000131,1.346050
娓,14,0.000096,1.826782
娘,24,0.000165,1.065623
娛,27,0.000186,0.947220
娜,29,0.000199,0.881895
娟,28,0.000193,0.913391
娠,26,0.000179,0.983652
娣,16,0.000110,1.598434
娥,26,0.000179,0.983652
娩,23,0.000158,1.111954
娶,29,0.000199,0.881895
娼,19,0.000131,1.346050
娿,16,0.000110,1.598434
婀,19,0.000131,1.346050
婁,27,0.000186,0.947220
婆,34,0.000234,0.752204
婉,29,0.000199,0.881895
婊,18,0.000124,1.420830
婚,22,0.000151,1.162498
婢,21,0.000144,1.217855
婦,35,0.000241,0.730713
婪,28,0.000193,0.913391
婷,17,0.000117,1.504409
婿,29,0.000199,0.881895
媒,21,0.000144,1.217855
媚,18,0.000124,1.420830
媛,27,0.000186,0.947220
媧,16,0.000110,1.598434
媲,20,0.000138,1.278747
媳,38,0.000261,0.673025
媼,15,0.000103,1.704996
媽,29,0.000199,0.881895
媾,18,0.000124,1.420830
媿,26,0.000179,0.983652
嫁,28,0.000193,0.913391
嫂,28,0.000193,0.913391
嫉,28,0.000193,0.913391
嫋,19,0.000131,1.346050
嫌,32,0.000220,0.799217
嫖,21,0.000144,1.217855
嫗,14,0.000096,1.826782
嫘,20,0.000138,1.278747
嫡,38,0.000261,0.673025
嫣,21,0.000144,1.217855
嫦,18,0.000124,1.420830
嫩,30,0.000206,0.852498
嫵,20,0.000138,1.278747
嫺,13,0.000089,1.967304
嬈,22,0.000151,1.162498
嬉,20,0.000138,1.278747
嬋,25,0.000172,1.022998
嬌,29,0.000199,0.881895
嬖,14,0.000096,1.826782
嬤,11,0.000076,2.324995
嬪,18,0.000124,1.420830
嬰,21,0.000144,1.217855
嬲,9,0.000062,2.841661
嬸,22,0.000151,1.162498
嬾,30,0.000206,0.852498
孀,11,0.000076,2.324995
子,22,0.000151,1.162498
孑,19,0.000131,1.346050
孔,31,0.000213,0.824998
孕,29,0.000199,0.881895
字,41,0.000282,0.623779
存,40,0.000275,0.639374
孚,23,0.000158,1.111954
孛,21,0.000144,1.217855
孜,26,0.000179,0.983652
孝,35,0.000241,0.730713
孟,31,0.000213,0.824998
季,40,0.000275,0.639374
孤,35,0.000241,0.730713
孥,20,0.000138,1.278747
孩,24,0.000165,1.065623
孫,29,0.000199,0.881895
孰,27,0.000186,0.947220
孱,22,0.000151,1.162498
孳,16,0.000110,1.598434
孵,31,0.000213,0.824998
學,38,0.000261,0.673025
孺,27,0.000186,0.947220
孼,20,0.000138,1.278747
孽,19,0.000131,1.346050
孿,22,0.000151,1.162498
宀,16,0.000110,1.598434
宁,31,0.000213,0.824998
它,30,0.000206,0.852498
宅,33,0.000227,0.774998
宇,41,0.000282,0.623779
守,33,0.000227,0.774998
安,35,0.000241,0.730713
宋,26,0.000179,0.983652
完,44,0.000303,0.581249
宏,31,0.000213,0.824998
宕,12,0.000083,2.131246
宗,35,0.000241,0.730713
官,36,0.000248,0.710415
宙,35,0.000241,0.730713
定,37,0.000255,0.691215
宛,22,0.000151,1.162498
宜,28,0.000193,0.913391
客,40,0.000275,0.639374
宣,30,0.000206,0.852498
室,41,0.000282,0.623779
宥,17,0.000117,1.504409
宦,27,0.000186,0.947220
宪,11,0.000076,2.324995
宮,36,0.000248,0.710415
宰,30,0.000206,0.852498
害,38,0.000261,0.673025
宴,27,0.000186,0.947220
宵,34,0.000234,0.752204
家,37,0.000255,0.691215
宸,19,0.000131,1.346050
容,26,0.000179,0.983652
宿,46,0.000316,0.555977
寂,23,0.000158,1.111954
寄,35,0.000241,0.730713
寅,32,0.000220,0.799217
密,34,0.000234,0.752204
寇,32,0.000220,0.799217
富,33,0.000227,0.774998
寐,28,0.000193,0.913391
寑,27,0.000186,0.947220
寒,30,0.000206,0.852498
寓,31,0.000213,0.824998
寞,31,0.000213,0.824998
察,31,0.000213,0.824998
寡,29,0.000199,0.881895
寤,23,0.000158,1.111954
寥,25,0.000172,1.022998
實,24,0.000165,1.065623
寨,29,0.000199,0.881895
審,27,0.000186,0.947220
寫,46,0.000316,0.555977
寬,29,0.000199,0.881895
寮,18,0.000124,1.420830
寰,24,0.000165,1.065623
寳,44,0.000303,0.581249
寵,32,0.000220,0.799217
寸,44,0.000303,0.581249
寺,38,0.000261,0.673025
封,28,0.000193,0.913391
射,52,0.000358,0.491826
將,26,0.000179,0.983652
專,28,0.000193,0.913391
尉,39,0.000268,0.655768
尊,33,0.000227,0.774998
尋,28,0.000193,0.913391
對,30,0.000206,0.852498
導,37,0.000255,0.691215
小,35,0.000241,0.730713
少,24,0.000165,1.065623
尖,36,0.000248,0.710415
尘,18,0.000124,1.420830
尟,24,0.000165,1.065623
尢,23,0.000158,1.111954
尤,31,0.000213,0.824998
尬,13,0.000089,1.967304
就,33,0.000227,0.774998
尸,19,0.000131,1.346050
尹,24,0.000165,1.065623
尺,28,0.000193,0.913391
尻,19,0.000131,1.346050
尼,27,0.000186,0.947220
尽,18,0.000124,1.420830
尾,26,0.000179,0.983652
尿,40,0.000275,0.639374
局,41,0.000282,0.623779
屁,20,0.000138,1.278747
居,37,0.000255,0.691215
屆,28,0.000193,0.913391
屈,22,0.000151,1.162498
屉,18,0.000124,1.420830
屋,37,0.000255,0.691215
屎,19,0.000131,1.346050
屏,22,0.000151,1.162498
屐,28,0.000193,0.913391
屑,22,0.000151,1.162498
展,31,0.000213,0.824998
屜,15,0.000103,1.704996
属,37,0.000255,0.691215
屠,25,0.000172,1.022998
屢,39,0.000268,0.655768
層,41,0.000282,0.623779
履,42,0.000289,0.608927
屨,18,0.000124,1.420830
屬,36,0.000248,0.710415
屮,11,0.000076,2.324995
屯,27,0.000186,0.947220
山,39,0.000268,0.655768
屹,28,0.000193,0.913391
岌,29,0.000199,0.881895
岐,24,0.000165,1.065623
岑,25,0.000172,1.022998
岔,36,0.000248,0.710415
岡,28,0.000193,0.913391
岩,37,0.000255,0.691215
岫,25,0.000172,1.022998
岬,20,0.000138,1.278747
岭,25,0.000172,1.022998
岱,20,0.000138,1.278747
岳,32,0.000220,0.799217
岷,12,0.000083,2.131246
岸,28,0.000193,0.913391
峒,11,0.000076,2.324995
峙,36,0.000248,0.710415
峨,24,0.000165,1.065623
峪,33,0.000227,0.774998
峭,34,0.000234,0.752204
峯,34,0.000234,0.752204
峰,30,0.000206,0.852498
峴,19,0.000131,1.346050
峻,28,0.000193,0.913391
峽,28,0.000193,0.913391
崆,24,0.000165,1.065623
崇,24,0.000165,1.065623
崎,31,0.000213,0.824998
崐,25,0.000172,1.022998
崔,32,0.000220,0.799217
崖,25,0.000172,1.022998
崗,26,0.000179,0.983652
崛,18,0.000124,1.420830
崢,21,0.000144,1.217855
崤,14,0.000096,1.826782
崧,26,0.000179,0.983652
崩,25,0.000172,1.022998
崴,15,0.000103,1.704996
嵇,12,0.000083,2.131246
嵋,20,0.000138,1.278747
嵌,28,0.000193,0.913391
嵐,20,0.000138,1.278747
嵩,12,0.000083,2.131246
嵬,17,0.000117,1.504409
嵯,19,0.000131,1.346050
嶂,23,0.000158,1.111954
嶃,20,0.000138,1.278747
嶇,25,0.000172,1.022998
嶝,28,0.000193,0.913391
嶷,20,0.000138,1.278747
嶸,17,0.000117,1.504409
嶼,28,0.000193,0.913391
巋,18,0.000124,1.420830
巍,21,0.000144,1.217855
巒,33,0.000227,0.774998
巛,18,0.000124,1.420830
川,37,0.000255,0.691215
州,42,0.000289,0.608927
巡,37,0.000255,0.691215
巢,17,0.000117,1.504409
工,35,0.000241,0.730713
左,32,0.000220,0.799217
巧,19,0.000131,1.346050
巨,31,0.000213,0.824998
巩,19,0.000131,1.346050
巫,27,0.000186,0.947220
差,26,0.000179,0.983652
己,43,0.000296,0.594766
已,36,0.000248,0.710415
巳,24,0.000165,1.065623
巴,27,0.000186,0.947220
巷,26,0.000179,0.983652
巽,19,0.000131,1.346050
巾,24,0.000165,1.065623
币,21,0.000144,1.217855
市,39,0.000268,0.655768
布,32,0.000220,0.799217
帆,34,0.000234,0.752204
帋,26,0.000179,0.983652
希,44,0.000303,0.581249
帑,23,0.000158,1.111954
帕,16,0.000110,1.598434
帖,32,0.000220,0.799217
帘,20,0.000138,1.278747
帙,21,0.000144,1.217855
帚,21,0.000144,1.217855
帛,34,0.000234,0.752204
帝,23,0.000158,1.111954
帥,22,0.000151,1.162498
師,41,0.000282,0.623779
帬,28,0.000193,0.913391
席,37,0.000255,0.691215
帳,43,0.000296,0.594766
帶,24,0.000165,1.065623
帷,23,0.000158,1.111954
常,36,0.000248,0.710415
帽,40,0.000275,0.639374
幀,31,0.000213,0.824998
幃,22,0.000151,1.162498
幄,13,0.000089,1.967304
幅,27,0.000186,0.947220
幇,25,0.000172,1.022998
幌,32,0.000220,0.799217
幑,22,0.000151,1.162498
幔,24,0.000165,1.065623
幕,27,0.000186,0.947220
幗,19,0.000131,1.346050
幟,20,0.000138,1.278747
幡,18,0.000124,1.420830
幢,32,0.000220,0.799217
幣,27,0.000186,0.947220
干,28,0.000193,0.913391
平,34,0.000234,0.752204
年,43,0.000296,0.594766
幸,32,0.000220,0.799217
幺,14,0.000096,1.826782
幻,34,0.000234,0.752204
幼,47,0.000323,0.544148
幽,24,0.000165,1.065623
广,22,0.000151,1.162498
庄,20,0.000138,1.278747
庇,28,0.000193,0.913391
床,25,0.000172,1.022998
序,37,0.000255,0.691215
底,30,0.000206,0.852498
庖,23,0.000158,1.111954
店,35,0.000241,0.730713
庙,15,0.000103,1.704996
庚,19,0.000131,1.346050
府,32,0.000220,0.799217
庠,19,0.000131,1.346050
度,40,0.000275,0.639374
座,35,0.000241,0.730713
庫,30,0.000206,0.852498
庭,32,0.000220,0.799217
庵,29,0.000199,0.881895
庶,31,0.000213,0.824998
康,38,0.000261,0.673025
庸,25,0.000172,1.022998
庾,14,0.000096,1.826782
廂,29,0.000199,0.881895
廈,25,0.000172,1.022998
廉,33,0.000227,0.774998
廊,26,0.000179,0.983652
廓,30,0.000206,0.852498
廕,24,0.000165,1.065623
廖,29,0.000199,0.881895
廛,10,0.000069,2.557495
廟,31,0.000213,0.824998
廡,11,0.000076,2.324995
廢,22,0.000151,1.162498
廨,11,0.000076,2.324995
廩,11,0.000076,2.324995
廬,38,0.000261,0.673025
廳,30,0.000206,0.852498
廴,16,0.000110,1.598434
延,40,0.000275,0.639374
廷,34,0.000234,0.752204
建,30,0.000206,0.852498
廾,13,0.000089,1.967304
廿,23,0.000158,1.111954
弁,27,0.000186,0.947220
异,21,0.000144,1.217855
弃,28,0.000193,0.913391
弄,27,0.000186,0.947220
弈,17,0.000117,1.504409
弊,21,0.000144,1.217855
弋,19,0.000131,1.346050
式,23,0.000158,1.111954
弑,19,0.000131,1.346050
弓,49,0.000337,0.521938
引,36,0.000248,0.710415
弗,27,0.000186,0.947220
弘,23,0.000158,1.111954
弛,27,0.000186,0.947220
弟,41,0.000282,0.623779
弥,27,0.000186,0.947220
弦,22,0.000151,1.162498
弧,34,0.000234,0.752204
弩,18,0.000124,1.420830
弭,16,0.000110,1.598434
弱,40,0.000275,0.639374
張,35,0.000241,0.730713
強,37,0.000255,0.691215
强,22,0.000151,1.162498
弼,20,0.000138,1.278747
彈,25,0.000172,1.022998
彌,24,0.000165,1.065623
彎,33,0.000227,0.774998
彖,14,0.000096,1.826782
彗,22,0.000151,1.162498
彝,28,0.000193,0.913391
彡,13,0.000089,1.967304
形,36,0.000248,0.710415
彤,21,0.000144,1.217855
彥,23,0.000158,1.111954
彩,35,0.000241,0.730713
彪,23,0.000158,1.111954
彫,28,0.000193,0.913391
彬,36,0.000248,0.710415
彭,32,0.000220,0.799217
彰,31,0.000213,0.824998
影,25,0.000172,1.022998
彳,19,0.000131,1.346050
彷,18,0.000124,1.420830
役,35,0.000241,0.730713
彼,28,0.000193,0.913391
往,50,0.000344,0.511499
征,28,0.000193,0.913391
徂,13,0.000089,1.967304
待,29,0.000199,0.881895
徇,21,0.000144,1.217855
很,24,0.000165,1.065623
徉,15,0.000103,1.704996
徊,23,0.000158,1.111954
律,42,0.000289,0.608927
後,26,0.000179,0.983652
徐,29,0.000199,0.881895
徑,37,0.000255,0.691215
徒,31,0.000213,0.824998
得,42,0.000289,0.608927
徘,28,0.000193,0.913391
徙,23,0.000158,1.111954
徜,17,0.000117,1.504409
徠,20,0.000138,1.278747
御,27,0.000186,0.947220
徧,31,0.000213,0.824998
徨,20,0.000138,1.278747
復,30,0.000206,0.852498
循,32,0.000220,0.799217
徭,16,0.000110,1.598434
微,21,0.000144,1.217855
徵,18,0.000124,1.420830
德,30,0.000206,0.852498
徹,25,0.000172,1.022998
徼,18,0.000124,1.420830
徽,22,0.000151,1.162498
心,32,0.000220,0.799217
必,31,0.000213,0.824998
忌,40,0.000275,0.639374
忍,27,0.000186,0.947220
忏,16,0.000110,1.598434
忖,23,0.000158,1.111954
志,44,0.000303,0.581249
忘,34,0.000234,0.752204
忙,17,0.000117,1.504409
忝,18,0.000124,1.420830
忠,33,0.000227,0.774998
忤,11,0.000076,2.324995
忧,14,0.000096,1.826782
忪,17,0.000117,1.504409
快,32,0.000220,0.799217
忱,31,0.000213,0.824998
念,34,0.000234,0.752204
忸,24,0.000165,1.065623
忻,20,0.000138,1.278747
忽,34,0.000234,0.752204
忿,34,0.000234,0.752204
怀,24,0.000165,1.065623
怎,24,0.000165,1.065623
怏,27,0.000186,0.947220
怒,21,0.000144,1.217855
怔,32,0.000220,0.799217
怕,26,0.000179,0.983652
怖,31,0.000213,0.824998
怙,16,0.000110,1.598434
怛,26,0.000179,0.983652
怜,27,0.000186,0.947220
思,44,0.000303,0.581249
怠,23,0.000158,1.111954
怡,27,0.000186,0.947220
急,28,0.000193,0.913391
怦,18,0.000124,1.420830
性,33,0.000227,0.774998
怨,28,0.000193,0.913391
怩,14,0.000096,1.826782
怪,36,0.000248,0.710415
怫,21,0.000144,1.217855
怯,26,0.000179,0.983652
怳,29,0.000199,0.881895
怵,12,0.000083,2.131246
恁,14,0.000096,1.826782
恂,18,0.000124,1.420830
恃,36,0.000248,0.710415
恆,31,0.000213,0.824998
恋,22,0.000151,1.162498
恍,26,0.000179,0.983652
恐,29,0.000199,0.881895
恒,29,0.000199,0.881895
恕,33,0.000227,0.774998
恙,17,0.000117,1.504409
恚,15,0.000103,1.704996
恝,11,0.000076,2.324995
恢,36,0.000248,0.710415
恣,20,0.000138,1.278747
恤,26,0.000179,0.983652
恥,29,0.000199,0.881895
恨,29,0.000199,0.881895
恩,37,0.000255,0.691215
恪,22,0.000151,1.162498
恫,27,0.000186,0.947220
恬,33,0.000227,0.774998
恭,29,0.000199,0.881895
息,36,0.000248,0.710415
恰,31,0.000213,0.824998
恿,29,0.000199,0.881895
悃,20,0.000138,1.278747
悄,30,0.000206,0.852498
悅,24,0.000165,1.065623
悉,23,0.000158,1.111954
悌,26,0.000179,0.983652
悍,22,0.000151,1.162498
悒,13,0.000089,1.967304
悔,21,0.000144,1.217855
悖,29,0.000199,0.881895
悚,16,0.000110,1.598434
悛,15,0.000103,1.704996
悟,35,0.000241,0.730713
悠,34,0.000234,0.752204
患,21,0.000144,1.217855
您,29,0.000199,0.881895
悲,37,0.000255,0.691215
悴,12,0.000083,2.131246
悵,22,0.000151,1.162498
悶,46,0.000316,0.555977
悸,32,0.000220,0.799217
悻,17,0.000117,1.504409
悼,31,0.000213,0.824998
情,34,0.000234,0.752204
惆,25,0.000172,1.022998
惊,17,0.000117,1.504409
惋,39,0.000268,0.655768
惑,26,0.000179,0.983652
惕,26,0.000179,0.983652
惘,18,0.000124,1.420830
惚,18,0.000124,1.420830
惜,27,0.000186,0.947220
惟,35,0.000241,0.730713
惠,28,0.000193,0.913391
惡,21,0.000144,1.217855
惰,13,0.000089,1.967304
惱,31,0.000213,0.824998
惲,28,0.000193,0.913391
想,33,0.000227,0.774998
惴,17,0.000117,1.504409
惶,22,0.000151,1.162498
惷,29,0.000199,0.881895
惹,32,0.000220,0.799217
惺,21,0.000144,1.217855
惻,21,0.000144,1.217855
愀,18,0.000124,1.420830
愁,26,0.000179,0.983652
愆,29,0.000199,0.881895
愈,33,0.000227,0.774998
愉,27,0.000186,0.947220
愍,19,0.000131,1.346050
愎,24,0.000165,1.065623
意,28,0.000193,0.913391
愕,15,0.000103,1.704996
愚,27,0.000186,0.947220
愛,29,0.000199,0.881895
感,36,0.000248,0.710415
愠,20,0.000138,1.278747
愧,21,0.000144,1.217855
愨,18,0.000124,1.420830
愬,22,0.000151,1.162498
愴,22,0.000151,1.162498
愷,26,0.000179,0.983652
愾,18,0.000124,1.420830
愿,25,0.000172,1.022998
慄,27,0.000186,0.947220
慈,24,0.000165,1.065623
慊,19,0.000131,1.346050
態,31,0.000213,0.824998
慌,29,0.000199,0.881895
慍,10,0.000069,2.557495
慕,19,0.000131,1.346050
慘,25,0.000172,1.022998
慙,31,0.000213,0.824998
慝,24,0.000165,1.065623
慟,13,0.000089,1.967304
慢,26,0.000179,0.983652
慣,29,0.000199,0.881895
慧,23,0.000158,1.111954
慨,20,0.000138,1.278747
慫,25,0.000172,1.022998
慮,27,0.000186,0.947220
慰,16,0.000110,1.598434
慳,16,0.000110,1.598434
慴,23,0.000158,1.111954
慵,21,0.000144,1.217855
慶,27,0.000186,0.947220
慷,21,0.000144,1.217855
慼,32,0.000220,0.799217
慾,34,0.000234,0.752204
憂,18,0.000124,1.420830
憊,32,0.000220,0.799217
憋,15,0.000103,1.704996
憎,37,0.000255,0.691215
憐,34,0.000234,0.752204
憔,12,0.000083,2.131246
憚,25,0.000172,1.022998
憤,32,0.000220,0.799217
憧,26,0.000179,0.983652
憨,16,0.000110,1.598434
憩,11,0.000076,2.324995
憫,25,0.000172,1.022998
憬,22,0.000151,1.162498
憮,19,0.000131,1.346050
憲,39,0.000268,0.655768
憶,38,0.000261,0.673025
憾,30,0.000206,0.852498
懂,28,0.000193,0.913391
懇,34,0.000234,0.752204
懈,24,0.000165,1.065623
應,17,0.000117,1.504409
懊,18,0.000124,1.420830
懋,25,0.000172,1.022998
懌,20,0.000138,1.278747
懍,19,0.000131,1.346050
懣,18,0.000124,1.420830
懦,30,0.000206,0.852498
懲,29,0.000199,0.881895
懵,19,0.000131,1.346050
懷,21,0.000144,1.217855
懸,37,0.000255,0.691215
懺,24,0.000165,1.065623
懼,27,0.000186,0.947220
懽,16,0.000110,1.598434
懿,22,0.000151,1.162498
戀,29,0.000199,0.881895
戈,36,0.000248,0.710415
戊,29,0.000199,0.881895
戌,23,0.000158,1.111954
戍,28,0.000193,0.913391
戎,25,0.000172,1.022998
成,43,0.000296,0.594766
我,30,0.000206,0.852498
戒,26,0.000179,0.983652
戔,11,0.000076,2.324995
戕,12,0.000083,2.131246
或,33,0.000227,0.774998
戚,26,0.000179,0.983652
戛,20,0.000138,1.278747
戟,26,0.000179,0.983652
戡,18,0.000124,1.420830
戢,23,0.000158,1.111954
截,34,0.000234,0.752204
戮,31,0.000213,0.824998
戰,21,0.000144,1.217855
戳,26,0.000179,0.983652
戴,27,0.000186,0.947220
戶,23,0.000158,1.111954
戾,19,0.000131,1.346050
房,28,0.000193,0.913391
所,48,0.000330,0.532811
扁,28,0.000193,0.913391
扇,20,0.000138,1.278747
扈,24,0.000165,1.065623
扉,21,0.000144,1.217855
手,31,0.000213,0.824998
才,28,0.000193,0.913391
扎,30,0.000206,0.852498
扑,20,0.000138,1.278747
扒,24,0.000165,1.065623
打,26,0.000179,0.983652
扔,28,0.000193,0.913391
托,32,0.000220,0.799217
扛,32,0.000220,0.799217
扞,26,0.000179,0.983652
扣,34,0.000234,0.752204
扦,13,0.000089,1.967304
扭,20,0.000138,1.278747
扮,24,0.000165,1.065623
扯,24,0.000165,1.065623
扰,17,0.000117,1.504409
扳,13,0.000089,1.967304
扶,35,0.000241,0.730713
批,33,0.000227,0.774998
扼,27,0.000186,0.947220
找,25,0.000172,1.022998
承,35,0.000241,0.730713
技,32,0.000220,0.799217
抄,33,0.000227,0.774998
抉,18,0.000124,1.420830
把,34,0.000234,0.752204
抑,37,0.000255,0.691215
抒,18,0.000124,1.420830
抓,22,0.000151,1.162498
投,42,0.000289,0.608927
抖,31,0.000213,0.824998
抗,19,0.000131,1.346050
折,42,0.000289,0.608927
抚,18,0.000124,1.420830
抨,18,0.000124,1.420830
披,30,0.000206,0.852498
抬,25,0.000172,1.022998
抱,27,0.000186,0.947220
抵,22,0.000151,1.162498
抹,25,0.000172,1.022998
押,33,0.000227,0.774998
抽,20,0.000138,1.278747
抿,23,0.000158,1.111954
拂,27,0.000186,0.947220
拄,27,0.000186,0.947220
担,27,0.000186,0.947220
拆,23,0.000158,1.111954
拇,24,0.000165,1.065623
拈,26,0.000179,0.983652
拉,34,0.000234,0.752204
拋,30,0.000206,0.852498
拌,23,0.000158,1.111954
拍,28,0.000193,0.913391
拎,18,0.000124,1.420830
拐,34,0.000234,0.752204
拒,22,0.000151,1.162498
拓,33,0.000227,0.774998
拔,25,0.000172,1.022998
拕,27,0.000186,0.947220
拖,23,0.000158,1.111954
拗,24,0.000165,1.065623
拘,39,0.000268,0.655768
拙,19,0.000131,1.346050
拚,26,0.000179,0.983652
招,35,0.000241,0.730713
拜,20,0.000138,1.278747
括,24,0.000165,1.065623
拭,26,0.000179,0.983652
拮,24,0.000165,1.065623
拯,21,0.000144,1.217855
拱,19,0.000131,1.346050
拳,20,0.000138,1.278747
拴,22,0.000151,1.162498
拷,24,0.000165,1.065623
拼,20,0.000138,1.278747
拽,26,0.000179,0.983652
拾,31,0.000213,0.824998
拿,22,0.000151,1.162498
持,46,0.000316,0.555977
挂,21,0.000144,1.217855
指,33,0.000227,0.774998
挈,19,0.000131,1.346050
按,25,0.000172,1.022998
挎,16,0.000110,1.598434
挑,30,0.000206,0.852498
挖,20,0.000138,1.278747
挨,15,0.000103,1.704996
挪,27,0.000186,0.947220
挫,30,0.000206,0.852498
振,25,0.000172,1.022998
挺,25,0.000172,1.022998
挽,28,0.000193,0.913391
挾,33,0.000227,0.774998
捂,31,0.000213,0.824998
捄,36,0.000248,0.710415
捅,13,0.000089,1.967304
捆,16,0.000110,1.598434
捉,24,0.000165,1.065623
捌,30,0.000206,0.852498
捍,28,0.000193,0.913391
捎,20,0.000138,1.278747
捏,23,0.000158,1.111954
捐,28,0.000193,0.913391
捕,34,0.000234,0.752204
捧,21,0.000144,1.217855
捨,33,0.000227,0.774998
捩,13,0.000089,1.967304
捫,18,0.000124,1.420830
据,26,0.000179,0.983652
捱,13,0.000089,1.967304
捶,25,0.000172,1.022998
捷,31,0.000213,0.824998
捺,23,0.000158,1.111954
捻,34,0.000234,0.752204
掀,32,0.000220,0.799217
掂,16,0.000110,1.598434
掃,23,0.000158,1.111954
掄,20,0.000138,1.278747
掇,22,0.000151,1.162498
授,32,0.000220,0.799217
掉,33,0.000227,0.774998
掌,27,0.000186,0.947220
掏,31,0.000213,0.824998
掐,16,0.000110,1.598434
排,29,0.000199,0.881895
掖,26,0.000179,0.983652
掘,33,0.000227,0.774998
掙,27,0.000186,0.947220
掛,29,0.000199,0.881895
掠,25,0.000172,1.022998
採,36,0.000248,0.710415
探,34,0.000234,0.752204
掣,20,0.000138,1.278747
接,38,0.000261,0.673025
控,33,0.000227,0.774998
推,49,0.000337,0.521938
掩,29,0.000199,0.881895
措,17,0.000117,1.504409
掬,20,0.000138,1.278747
掽,29,0.000199,0.881895
揀,26,0.000179,0.983652
揆,20,0.000138,1.278747
揉,18,0.000124,1.420830
揍,28,0.000193,0.913391
描,30,0.000206,0.852498
提,43,0.000296,0.594766
插,18,0.000124,1.420830
揖,27,0.000186,0.947220
揚,23,0.000158,1.111954
換,24,0.000165,1.065623
握,21,0.000144,1.217855
揣,25,0.000172,1.022998
揩,26,0.000179,0.983652
揪,22,0.000151,1.162498
揭,27,0.000186,0.947220
揮,37,0.000255,0.691215
援,32,0.000220,0.799217
搆,32,0.000220,0.799217
損,42,0.000289,0.608927
搏,21,0.000144,1.217855
搐,20,0.000138,1.278747
搓,26,0.000179,0.983652
搔,27,0.000186,0.947220
搖,22,0.000151,1.162498
搗,27,0.000186,0.947220
搜,20,0.000138,1.278747
搞,19,0.000131,1.346050
搪,24,0.000165,1.065623
搬,34,0.000234,0.752204
搭,15,0.000103,1.704996
搴,21,0.000144,1.217855
搶,22,0.000151,1.162498
携,8,0.000055,3.196868
摑,11,0.000076,2.324995
摒,15,0.000103,1.704996
摔,24,0.000165,1.065623
摘,26,0.000179,0.983652
摟,24,0.000165,1.065623
摧,31,0.000213,0.824998
摩,27,0.000186,0.947220
摭,16,0.000110,1.598434
摯,28,0.000193,0.913391
摳,27,0.000186,0.947220
摸,27,0.000186,0.947220
摹,37,0.000255,0.691215
摺,20,0.000138,1.278747
摻,18,0.000124,1.420830
撅,24,0.000165,1.065623
撇,26,0.000179,0.983652
撈,26,0.000179,0.983652
撐,30,0.000206,0.852498
撑,14,0.000096,1.826782
撒,21,0.000144,1.217855
撓,27,0.000186,0.947220
